"State","PRI_2007","PRI_2008","PRI_2009","PRI_2010","PRI_2011","PRI_2012","PRI_2013","PRI_2014","PRI_2015","PRI_2016","PROJ_2007","PROJ_2008","PROJ_2009","PROJ_2010","PROJ_2011","PROJ_2012","PROJ_2013","PROJ_2014","PROJ_2015","PROJ_2016","PROJ_2017","PROJ_2018","PROJ_2019","PROJ_2020","PAR_2007","PAR_2008","PAR_2009","PAR_2010","PAR_2011","PAR_2012","PAR_2013","PAR_2014","PAR_2015","PAR_2016","PRO_2007","PRO_2008","PRO_2009","PRO_2010","PRO_2011","PRO_2012","PRO_2013","PRO_2014","PRO_2015","PRO_2016","tot_savings","tot_reinvest","leg_yr","base_yr","recentpri_dt","recentpri_yr","recentproj_yr","recentpro_dt","recentpro_yr","recentpar_dt","recentpar_yr"
"Arkansas","","14686.0","15171.0","16176.0","15035.0","14627.0","17211.0","17850.0","17684.0","17951.0","","","","15916.0","16767.0","17440.0","18147.0","18688.0","19222.0","19734.0","","","","","","19974.0","21445.0","21774.0","23407.0","23657.0","22721.0","22414.0","21708.0","23518.0","","30997.0","29793.0","28156.0","29741.0","29528.0","28646.0","27756.0","27127.0","30547.0","0.0","2400000.0","2011.0","2010.0","On December 31,","2016.0","2016.0","On June 30,","2016.0","On June 30,","2016.0"
"Delaware","","","","","6593.0","6607.0","6991.0","6876.0","6704.0","6432.0","","","","","6600.0","6600.0","6600.0","6650.0","6675.0","","","","","","","","","","","","","","","","","","","","16523.0","16223.0","15995.0","16227.0","16089.0","15569.0","0.0","0.0","2012.0","2011.0","On June 30,","2016.0","2015.0","On June 30,","2016.0","",""
"Georgia","","","53512.0","53091.0","55057.0","57244.0","54234.0","53253.0","53102.0","54317.0","","","","","","55933.0","56664.0","57492.0","58664.0","59553.0","59732.0","","","","","","21307.0","22403.0","23729.0","22480.0","25020.0","25195.0","23859.0","22901.0","","","","156554.0","163709.0","163400.0","164484.0","166207.0","167388.0","165635.0","264000000.0","56507694.0","2012.0","2011.0","On December 31st,","2016.0","2016.0","In November,","2016.0","On June 30,","2016.0"
"Hawaii","","","6005.0","5987.0","6071.0","6060.0","5853.0","5819.0","6024.0","5970.0","","","","","","6060.0","6132.0","6163.0","6193.0","6224.0","6255.0","6287.0","","","","","1869.0","1862.0","1839.0","1632.0","1589.0","1647.0","1545.0","1479.0","","","20586.0","","23063.0","22654.0","21510.0","20908.0","20828.0","20475.0","2500000.0","10600000.0","2012.0","2011.0","In","2016.0","2016.0","On June 30,","2016.0","On June 30,","2016.0"
"Idaho","","","7283.0","7504.0","7578.0","8097.0","8221.0","8120.0","8160.0","7713.0","","","","","","","8160.0","8267.0","8506.0","8751.0","9001.0","9253.0","9408.0","","","","2628.0","2847.0","2954.0","2883.0","2974.0","3056.0","3416.0","4158.0","","","10164.0","10048.0","10097.0","10096.0","10239.0","10680.0","10755.0","11155.0","17725165.0","5924869.0","2014.0","2013.0","On June 30,","2016.0","2016.0","On June 30,","2016.0","On June 30,","2016.0"
"Kansas","","","8610.0","8871.0","9186.0","9374.0","9581.0","9612.0","9822.0","9663.0","","","","","","9370.0","9680.0","9916.0","10154.0","10312.0","10624.0","10819.0","","","","","5936.0","6066.0","5938.0","5848.0","5593.0","4725.0","4808.0","5228.0","","","8011.0","7963.0","7958.0","7915.0","7892.0","8250.0","8337.0","8525.0","2463092.0","8000000.0","2013.0","2012.0","On June 30,","2016.0","2016.0","On June 30,","2016.0","On June 30,","2016.0"
"Kentucky","","20625.0","20618.0","20280.0","23026.0","21734.0","20385.0","20867.0","21479.0","23130.0","","","","20117.0","20900.0","21037.0","21174.0","21311.0","21448.0","21584.0","","","","","","","","10091.0","10656.0","10338.0","12228.0","11659.0","11588.0","10217.0","","","","23269.0","23121.0","22658.0","22459.0","22771.0","22314.0","22666.0","55700000.0","69617700.0","2011.0","2010.0","On December 15,","2016.0","2016.0","In ","2016.0","In ","2016.0"
"Louisiana","","38228.0","39780.0","39391.0","39709.0","40170.0","39299.0","38030.0","36377.0","35682.0","","","","","39311.0","39247.0","39178.0","39235.0","39335.0","","","","","","","","23819.0","23607.0","26105.0","26494.0","27092.0","29619.0","31293.0","31176.0","","","40831.0","42834.0","43825.0","42866.0","42753.0","40979.0","40883.0","39826.0","17249098.0","1700000.0","2011.0","2010.0","On December 31,","2016.0","2015.0","On December 31,","2016.0","On December 31,","2016.0"
"Mississippi","","","","","21367.0","21972.0","22492.0","20624.0","18789.0","19531.0","","","","","","","22497.0","22869.0","23230.0","23500.0","23611.0","23780.0","23903.0","23984.0","","","","","6829.0","6949.0","6483.0","8057.0","9692.0","7679.0","","","","","27235.0","28293.0","29936.0","30881.0","35145.0","28756.0","0.0","10850000.0","2014.0","2013.0","On July 31,","2016.0","2016.0","On May 1,","2016.0","On May 1,","2016.0"
"Missouri","","30415.0","30563.0","30623.0","30833.0","31247.0","31537.0","31942.0","32330.0","32461.0","","","","30729.0","30739.0","30748.0","30758.0","30768.0","30777.0","30787.0","","","","","","","17558.0","17774.0","17703.0","17833.0","16888.0","16172.0","15109.0","14749.0","","","52742.0","53140.0","52635.0","53021.0","49798.0","45867.0","42623.0","41159.0","0.0","0.0","2012.0","2011.0","On December 31,","2016.0","2016.0","On June 30,","2016.0","On June 30,","2016.0"
